,document_id,annotation_text,dbPediaIri,locations
33,0recipe106,Tortilla,http://dbpedia.org/resource/Tortilla,"[(46, 8), (66, 8), (80, 8), (104, 8), (114, 8), (133, 8), (153, 8), (156, 8), (168, 8)]"
34,0recipe106,Cheese,http://dbpedia.org/resource/Cheese,"[(108, 6), (144, 6)]"
35,0recipe1078,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(2, 12)]"
36,0recipe1078,Cheese,http://dbpedia.org/resource/Cheese,"[(3, 6)]"
37,0recipe1090,Mayonnaise,http://dbpedia.org/resource/Mayonnaise,"[(9, 10)]"
38,0recipe1090,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(20, 12)]"
39,0recipe1090,Cheese,http://dbpedia.org/resource/Cheese,"[(21, 6), (32, 6)]"
40,0recipe1090,Almond,http://dbpedia.org/resource/Almond,"[(59, 6)]"
41,0recipe1102,Rice,http://dbpedia.org/resource/Rice,"[(2, 4), (21, 4), (147, 4)]"
42,0recipe1102,Allspice,http://dbpedia.org/resource/Allspice,"[(23, 8)]"
43,0recipe1102,Black pepper,http://dbpedia.org/resource/Black_pepper,"[(27, 12)]"
44,0recipe1102,Garlic,http://dbpedia.org/resource/Garlic,"[(82, 6)]"
45,0recipe1102,Lemon,http://dbpedia.org/resource/Lemon,"[(97, 5), (97, 5)]"
46,0recipe1102,Olive,http://dbpedia.org/resource/Olive,"[(102, 5)]"
47,0recipe1102,Grape leaves,http://dbpedia.org/resource/Grape_leaves,"[(151, 12)]"
48,0recipe1110,Beetroot,http://dbpedia.org/resource/Beetroot,"[(3, 8), (3, 8), (45, 8), (62, 8), (89, 8)]"
49,0recipe1110,Clove,http://dbpedia.org/resource/Clove,"[(22, 5)]"
50,0recipe1110,Cinnamon,http://dbpedia.org/resource/Cinnamomum_verum,"[(26, 8)]"
51,0recipe1122,Vanilla,http://dbpedia.org/resource/Vanilla_(genus),"[(25, 7)]"
52,0recipe1122,Almond,http://dbpedia.org/resource/Almond,"[(33, 6), (51, 6), (56, 6)]"
53,0recipe1122,Cinnamon,http://dbpedia.org/resource/Cinnamomum_verum,"[(46, 8)]"
54,0recipe1134,Maize,http://dbpedia.org/resource/Maize,"[(3, 5)]"
55,0recipe1134,Bell pepper,http://dbpedia.org/resource/Bell_pepper,"[(6, 11), (6, 11), (7, 11), (10, 11), (21, 11), (22, 11), (29, 11)]"
56,0recipe1134,Onion,http://dbpedia.org/resource/Onion,"[(13, 5)]"
57,0recipe1134,Coriander,http://dbpedia.org/resource/Coriander,"[(15, 9)]"
58,0recipe1134,Lime (fruit),http://dbpedia.org/resource/Lime_(fruit),"[(17, 12), (17, 12)]"
59,0recipe1134,Honey,http://dbpedia.org/resource/Honey,"[(24, 5)]"
60,0recipe1142,Chicken,http://dbpedia.org/resource/Chicken,"[(7, 7), (36, 7), (45, 7)]"
61,0recipe1142,Cabbage,http://dbpedia.org/resource/Cabbage,"[(9, 7)]"
62,0recipe1142,Carrot,http://dbpedia.org/resource/Carrot,"[(11, 6)]"
63,0recipe1142,Onion,http://dbpedia.org/resource/Onion,"[(14, 5)]"
64,0recipe1142,Green bean,http://dbpedia.org/resource/Green_bean,"[(16, 10)]"
65,0recipe1142,Bell pepper,http://dbpedia.org/resource/Bell_pepper,"[(19, 11), (20, 11), (20, 11), (21, 11)]"
66,0recipe1142,Zucchini,http://dbpedia.org/resource/Cucurbita_pepo,"[(23, 8)]"
67,0recipe1142,Stock (food),http://dbpedia.org/resource/Stock_(food),"[(36, 12), (37, 12)]"
68,0recipe1142,Soy sauce,http://dbpedia.org/resource/Soy_sauce,"[(39, 9), (39, 9)]"
69,0recipe1142,Vegetable oil,http://dbpedia.org/resource/Cooking_oil,"[(54, 13), (54, 13), (55, 13), (58, 13)]"
70,0recipe1166,Sausage,http://dbpedia.org/resource/Sausage,"[(11, 7), (12, 7), (16, 7), (37, 7)]"
71,0recipe1166,Onion,http://dbpedia.org/resource/Onion,"[(14, 5), (21, 5)]"
72,0recipe1166,Garlic,http://dbpedia.org/resource/Garlic,"[(50, 6)]"
73,0recipe1166,Black pepper,http://dbpedia.org/resource/Black_pepper,"[(53, 12)]"
74,0recipe1166,Bread crumbs,http://dbpedia.org/resource/Bread_crumbs,"[(57, 12), (57, 12), (58, 12), (128, 12), (128, 12), (129, 12)]"
75,0recipe1166,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(61, 12)]"
76,0recipe1166,Cheese,http://dbpedia.org/resource/Cheese,"[(62, 6)]"
77,0recipe1166,Parsley,http://dbpedia.org/resource/Parsley,"[(64, 7)]"
78,0recipe1174,Ground beef,http://dbpedia.org/resource/Ground_beef,"[(5, 11)]"
79,0recipe1174,Beef,http://dbpedia.org/resource/Beef,"[(6, 4), (18, 4), (28, 4), (42, 4), (48, 4), (136, 4)]"
80,0recipe1174,Onion,http://dbpedia.org/resource/Onion,"[(8, 5)]"
81,0recipe1174,Cooking,http://dbpedia.org/resource/Cooking,"[(24, 7)]"
82,0recipe1174,Ketchup,http://dbpedia.org/resource/Ketchup,"[(58, 7)]"
83,0recipe1174,Garlic,http://dbpedia.org/resource/Garlic,"[(63, 6)]"
84,0recipe1174,Garlic powder,http://dbpedia.org/resource/Garlic_powder,"[(63, 13)]"
85,0recipe1174,Biscuit,http://dbpedia.org/resource/Biscuit,"[(98, 7), (109, 7)]"
86,0recipe1186,Sausage,http://dbpedia.org/resource/Sausage,"[(8, 7), (38, 7)]"
87,0recipe1186,Tortilla,http://dbpedia.org/resource/Tortilla,"[(29, 8)]"
88,0recipe1186,Tortilla chip,http://dbpedia.org/resource/Tortilla_chip,"[(29, 13), (30, 13)]"
89,0recipe1186,Pepperoni,http://dbpedia.org/resource/Pepperoni,"[(40, 9)]"
90,0recipe1186,Mozzarella,http://dbpedia.org/resource/Mozzarella,"[(42, 10), (42, 10)]"
91,0recipe1186,Cheese,http://dbpedia.org/resource/Cheese,"[(43, 6), (57, 6)]"
92,0recipe1186,Capsicum,http://dbpedia.org/resource/Capsicum,"[(47, 8)]"
93,0recipe1186,Nachos,http://dbpedia.org/resource/Nachos,"[(50, 6)]"
94,0recipe1186,Pizza,http://dbpedia.org/resource/Pizza,"[(68, 5), (68, 5)]"
95,0recipe1197,Ranch dressing,http://dbpedia.org/resource/Ranch_dressing,"[(3, 14), (3, 14)]"
96,0recipe1197,Garlic,http://dbpedia.org/resource/Garlic,"[(7, 6)]"
97,0recipe1197,Garlic powder,http://dbpedia.org/resource/Garlic_powder,"[(7, 13)]"
98,0recipe1197,Dill,http://dbpedia.org/resource/Dill,"[(10, 4)]"
99,0recipe1197,Vegetable oil,http://dbpedia.org/resource/Cooking_oil,"[(12, 13), (12, 13), (13, 13)]"
100,0recipe1197,Cracker (food),http://dbpedia.org/resource/Cracker_(food),"[(16, 14), (22, 14)]"
101,0recipe1218,Spaghetti,http://dbpedia.org/resource/Spaghetti,"[(14, 9), (75, 9), (83, 9)]"
102,0recipe1218,Cooking,http://dbpedia.org/resource/Cooking,"[(23, 7), (70, 7)]"
103,0recipe1218,Cheese,http://dbpedia.org/resource/Cheese,"[(80, 6), (127, 6), (149, 6)]"
104,0recipe1218,Pasta,http://dbpedia.org/resource/Pasta,"[(109, 5), (119, 5), (142, 5)]"
105,0recipe1218,Tomato sauce,http://dbpedia.org/resource/Tomato_sauce,"[(109, 12), (119, 12)]"
106,0recipe1218,Sauce,http://dbpedia.org/resource/Sauce,"[(110, 5), (120, 5)]"
107,0recipe1231,Nut (fruit),http://dbpedia.org/resource/Nut_(fruit),"[(26, 11), (38, 11), (44, 11), (68, 11)]"
108,0recipe1231,Cinnamon,http://dbpedia.org/resource/Cinnamomum_verum,"[(108, 8)]"
109,0recipe1251,Ground beef,http://dbpedia.org/resource/Ground_beef,"[(15, 11)]"
110,0recipe1251,Beef,http://dbpedia.org/resource/Beef,"[(16, 4)]"
111,0recipe1251,Onion,http://dbpedia.org/resource/Onion,"[(22, 5)]"
112,0recipe1251,Ketchup,http://dbpedia.org/resource/Ketchup,"[(52, 7)]"
113,0recipe1251,Nutmeg,http://dbpedia.org/resource/Nutmeg,"[(60, 6)]"
114,0recipe1263,Ranch dressing,http://dbpedia.org/resource/Ranch_dressing,"[(25, 14), (25, 14)]"
115,0recipe1263,Bacon,http://dbpedia.org/resource/Bacon,"[(35, 5), (46, 5), (74, 5), (100, 5)]"
116,0recipe1263,Chicken,http://dbpedia.org/resource/Chicken,"[(52, 7), (64, 7), (94, 7)]"
117,0recipe1263,Cooking,http://dbpedia.org/resource/Cooking,"[(96, 7)]"
118,0recipe1263,Bread,http://dbpedia.org/resource/Bread,"[(106, 5)]"
119,0recipe1271,Peanut,http://dbpedia.org/resource/Peanut,"[(38, 6), (48, 6), (84, 6)]"
120,0recipe1271,Syrup,http://dbpedia.org/resource/Syrup,"[(55, 5)]"
121,0recipe1283,Black pepper,http://dbpedia.org/resource/Black_pepper,"[(55, 12), (56, 12), (85, 12)]"
122,0recipe1283,Chili pepper,http://dbpedia.org/resource/Chili_pepper,"[(84, 12)]"
123,0recipe1283,Margarine,http://dbpedia.org/resource/Margarine,"[(80, 9)]"
124,0recipe1283,Chicken,http://dbpedia.org/resource/Chicken,"[(91, 7), (115, 7), (161, 7)]"
125,0recipe1283,Buffalo wing,http://dbpedia.org/resource/Buffalo_wing,"[(91, 12), (115, 12), (161, 12)]"
126,0recipe1283,Blue cheese dressing,http://dbpedia.org/resource/Blue_cheese_dressing,"[(122, 20), (170, 20)]"
127,0recipe1283,Cheese,http://dbpedia.org/resource/Cheese,"[(123, 6), (151, 6), (171, 6)]"
128,0recipe1283,Salad,http://dbpedia.org/resource/Salad,"[(124, 5), (172, 5)]"
129,0recipe1283,Mayonnaise,http://dbpedia.org/resource/Mayonnaise,"[(134, 10)]"
130,0recipe1283,Onion,http://dbpedia.org/resource/Onion,"[(136, 5)]"
131,0recipe1283,Garlic,http://dbpedia.org/resource/Garlic,"[(138, 6)]"
132,0recipe1283,Parsley,http://dbpedia.org/resource/Parsley,"[(140, 7)]"
133,0recipe1283,Lemon,http://dbpedia.org/resource/Lemon,"[(145, 5), (145, 5)]"
134,0recipe1295,Crab,http://dbpedia.org/resource/Crab,"[(7, 4), (81, 4)]"
135,0recipe1295,Mayonnaise,http://dbpedia.org/resource/Mayonnaise,"[(9, 10)]"
136,0recipe1295,Onion,http://dbpedia.org/resource/Onion,"[(12, 5)]"
137,0recipe1295,Coriander,http://dbpedia.org/resource/Coriander,"[(14, 9)]"
138,0recipe1295,Lime (fruit),http://dbpedia.org/resource/Lime_(fruit),"[(16, 12), (16, 12)]"
139,0recipe1295,Ginger,http://dbpedia.org/resource/Ginger,"[(19, 6)]"
140,0recipe1295,Chili pepper,http://dbpedia.org/resource/Chili_pepper,"[(21, 12)]"
141,0recipe1295,Black pepper,http://dbpedia.org/resource/Black_pepper,"[(22, 12), (28, 12)]"
142,0recipe1295,Sauce,http://dbpedia.org/resource/Sauce,"[(23, 5)]"
143,0recipe1295,Bread crumbs,http://dbpedia.org/resource/Bread_crumbs,"[(45, 12), (45, 12), (46, 12), (60, 12), (60, 12), (61, 12)]"
144,0recipe1295,Crab cake,http://dbpedia.org/resource/Crab_cake,"[(81, 9)]"
145,0recipe1303,Rice,http://dbpedia.org/resource/Rice,"[(3, 4), (27, 4), (45, 4), (68, 4)]"
146,0recipe1303,Cucumber,http://dbpedia.org/resource/Cucumber,"[(90, 8)]"
147,0recipe1303,Crab stick,http://dbpedia.org/resource/Crab_stick,"[(92, 10)]"
148,0recipe1303,Crab,http://dbpedia.org/resource/Crab,"[(93, 4)]"
149,0recipe1303,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(96, 12)]"
150,0recipe1303,Cheese,http://dbpedia.org/resource/Cheese,"[(97, 6)]"
151,0recipe1303,Sushi,http://dbpedia.org/resource/Sushi,"[(112, 5)]"
152,0recipe1303,Ginger,http://dbpedia.org/resource/Ginger,"[(144, 6)]"
153,0recipe1327,Chickpea,http://dbpedia.org/resource/Chickpea,"[(2, 8), (2, 8)]"
154,0recipe1327,Lemon,http://dbpedia.org/resource/Lemon,"[(17, 5), (17, 5), (34, 5), (34, 5)]"
155,0recipe1327,Garlic,http://dbpedia.org/resource/Garlic,"[(20, 6)]"
156,0recipe1327,Tahini,http://dbpedia.org/resource/Tahini,"[(22, 6)]"
157,0recipe1327,Crushed red pepper,http://dbpedia.org/resource/Crushed_red_pepper,"[(24, 18)]"
158,0recipe1327,Capsicum,http://dbpedia.org/resource/Capsicum,"[(25, 8), (26, 8)]"
159,0recipe1335,Cauliflower,http://dbpedia.org/resource/Cauliflower,"[(2, 11), (19, 11)]"
160,0recipe1335,Italian dressing,http://dbpedia.org/resource/Italian_dressing,"[(10, 16)]"
161,0recipe1335,Mayonnaise,http://dbpedia.org/resource/Mayonnaise,"[(23, 10)]"
162,0recipe1335,Bacon,http://dbpedia.org/resource/Bacon,"[(25, 5), (25, 5)]"
163,0recipe1335,Cheese,http://dbpedia.org/resource/Cheese,"[(28, 6)]"
164,0recipe1359,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(11, 12)]"
165,0recipe1359,Horseradish,http://dbpedia.org/resource/Horseradish,"[(14, 11)]"
166,0recipe1359,Lemon,http://dbpedia.org/resource/Lemon,"[(16, 5), (16, 5)]"
167,0recipe1359,Onion,http://dbpedia.org/resource/Onion,"[(20, 5)]"
168,0recipe1359,Parsley,http://dbpedia.org/resource/Parsley,"[(39, 7)]"
169,0recipe1359,Pecan,http://dbpedia.org/resource/Pecan,"[(43, 5)]"
170,0recipe1367,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(5, 12)]"
171,0recipe1367,Cheese,http://dbpedia.org/resource/Cheese,"[(6, 6)]"
172,0recipe1367,Shrimp,http://dbpedia.org/resource/Shrimp,"[(8, 6)]"
173,0recipe1367,Worcestershire sauce,http://dbpedia.org/resource/Worcestershire_sauce,"[(11, 20), (12, 20)]"
174,0recipe1367,Garlic,http://dbpedia.org/resource/Garlic,"[(14, 6)]"
175,0recipe1379,Black-eyed pea,http://dbpedia.org/resource/Black-eyed_pea,"[(3, 14)]"
176,0recipe1379,Onion,http://dbpedia.org/resource/Onion,"[(7, 5)]"
177,0recipe1379,Garlic,http://dbpedia.org/resource/Garlic,"[(14, 6)]"
178,0recipe1379,Tomato,http://dbpedia.org/resource/Tomato,"[(16, 6)]"
179,0recipe1379,Coriander,http://dbpedia.org/resource/Coriander,"[(18, 9)]"
180,0recipe1379,Balsamic vinegar,http://dbpedia.org/resource/Balsamic_vinegar,"[(20, 16), (20, 16)]"
181,0recipe138,Popcorn,http://dbpedia.org/resource/Popcorn,"[(12, 7)]"
182,0recipe138,Maize,http://dbpedia.org/resource/Maize,"[(19, 5)]"
183,0recipe1391,Cooking,http://dbpedia.org/resource/Cooking,"[(22, 7), (79, 7)]"
184,0recipe1391,Soy sauce,http://dbpedia.org/resource/Soy_sauce,"[(30, 9), (30, 9), (54, 9), (54, 9)]"
185,0recipe1391,Sauce,http://dbpedia.org/resource/Sauce,"[(31, 5), (55, 5)]"
186,0recipe1391,Garlic,http://dbpedia.org/resource/Garlic,"[(34, 6)]"
187,0recipe1391,Garlic powder,http://dbpedia.org/resource/Garlic_powder,"[(34, 13)]"
188,0recipe1399,Peach,http://dbpedia.org/resource/Peach,"[(3, 5)]"
189,0recipe1399,Black pepper,http://dbpedia.org/resource/Black_pepper,"[(33, 12)]"
190,0recipe1399,Bell pepper,http://dbpedia.org/resource/Bell_pepper,"[(6, 11), (11, 11), (12, 11), (12, 11), (13, 11), (34, 11)]"
191,0recipe1399,Onion,http://dbpedia.org/resource/Onion,"[(9, 5)]"
192,0recipe1399,Coriander,http://dbpedia.org/resource/Coriander,"[(15, 9)]"
193,0recipe1399,Garlic,http://dbpedia.org/resource/Garlic,"[(17, 6)]"
194,0recipe1399,Lime (fruit),http://dbpedia.org/resource/Lime_(fruit),"[(19, 12), (19, 12)]"
195,0recipe1399,Lemon,http://dbpedia.org/resource/Lemon,"[(23, 5), (23, 5)]"
196,0recipe1399,Avocado,http://dbpedia.org/resource/Avocado,"[(49, 7)]"
197,0recipe1411,Beef,http://dbpedia.org/resource/Beef,"[(22, 4), (45, 4), (59, 4)]"
198,0recipe1411,Taco,http://dbpedia.org/resource/Taco,"[(31, 4)]"
199,0recipe1411,Chili powder,http://dbpedia.org/resource/Chili_powder,"[(34, 12), (34, 12), (35, 12)]"
200,0recipe1411,Cumin,http://dbpedia.org/resource/Cumin,"[(37, 5)]"
201,0recipe1411,Casserole,http://dbpedia.org/resource/Casserole,"[(52, 9)]"
202,0recipe1411,Onion,http://dbpedia.org/resource/Onion,"[(66, 5)]"
203,0recipe1411,Tomato,http://dbpedia.org/resource/Tomato,"[(68, 6)]"
204,0recipe1411,Olive,http://dbpedia.org/resource/Olive,"[(70, 5)]"
205,0recipe1411,Cheese,http://dbpedia.org/resource/Cheese,"[(76, 6)]"
206,0recipe1423,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(59, 12)]"
207,0recipe1423,Cheese,http://dbpedia.org/resource/Cheese,"[(60, 6), (63, 6)]"
208,0recipe1423,Goat cheese,http://dbpedia.org/resource/Goat_cheese,"[(62, 11)]"
209,0recipe1423,Goat,http://dbpedia.org/resource/Goat,"[(62, 4)]"
210,0recipe1423,Onion,http://dbpedia.org/resource/Onion,"[(71, 5)]"
211,0recipe1423,Garlic,http://dbpedia.org/resource/Garlic,"[(118, 6), (129, 6), (142, 6)]"
212,0recipe1423,Cooking,http://dbpedia.org/resource/Cooking,"[(127, 7)]"
213,0recipe1431,Chicken,http://dbpedia.org/resource/Chicken,"[(20, 7), (59, 7), (77, 7)]"
214,0recipe1431,Cooking,http://dbpedia.org/resource/Cooking,"[(79, 7)]"
215,0recipe1431,Cheese,http://dbpedia.org/resource/Cheese,"[(90, 6)]"
216,0recipe1431,Salad,http://dbpedia.org/resource/Salad,"[(93, 5), (93, 5), (94, 5)]"
217,0recipe1443,Turkey (bird),http://dbpedia.org/resource/Turkey_(bird),"[(14, 13)]"
218,0recipe1443,Bread,http://dbpedia.org/resource/Bread,"[(16, 5)]"
219,0recipe1443,Bread crumbs,http://dbpedia.org/resource/Bread_crumbs,"[(16, 12), (17, 12)]"
220,0recipe1443,Spinach,http://dbpedia.org/resource/Spinach,"[(19, 7)]"
221,0recipe1443,Onion,http://dbpedia.org/resource/Onion,"[(23, 5)]"
222,0recipe1443,Garlic,http://dbpedia.org/resource/Garlic,"[(27, 6)]"
223,0recipe1443,Garlic powder,http://dbpedia.org/resource/Garlic_powder,"[(27, 13)]"
224,0recipe1456,Cheese,http://dbpedia.org/resource/Cheese,"[(36, 6)]"
225,0recipe1456,Margarine,http://dbpedia.org/resource/Margarine,"[(43, 9)]"
226,0recipe1456,Onion,http://dbpedia.org/resource/Onion,"[(46, 5)]"
227,0recipe1463,Onion,http://dbpedia.org/resource/Onion,"[(77, 5)]"
228,0recipe1463,Onion ring,http://dbpedia.org/resource/Onion_ring,"[(77, 10)]"
229,0recipe1463,Spice,http://dbpedia.org/resource/Spice,"[(95, 5)]"
230,0recipe1477,Fish sauce,http://dbpedia.org/resource/Fish_sauce,"[(4, 10)]"
231,0recipe1477,Lime (fruit),http://dbpedia.org/resource/Lime_(fruit),"[(9, 12), (9, 12)]"
232,0recipe1477,Garlic,http://dbpedia.org/resource/Garlic,"[(12, 6)]"
233,0recipe1477,Chili pepper,http://dbpedia.org/resource/Chili_pepper,"[(15, 12), (16, 12)]"
234,0recipe1477,Rice,http://dbpedia.org/resource/Rice,"[(40, 4), (86, 4), (129, 4)]"
235,0recipe1477,Rice vermicelli,http://dbpedia.org/resource/Rice_vermicelli,"[(40, 15), (41, 15), (86, 15), (87, 15), (111, 15), (171, 15)]"
236,0recipe1477,Shrimp,http://dbpedia.org/resource/Shrimp,"[(60, 6), (74, 6), (80, 6), (156, 6)]"
237,0recipe1477,Noodle,http://dbpedia.org/resource/Noodle,"[(88, 6), (120, 6)]"
238,0recipe1477,Lettuce,http://dbpedia.org/resource/Lettuce,"[(165, 7)]"
239,0recipe1477,Mentha,http://dbpedia.org/resource/Mentha,"[(180, 6)]"
240,0recipe1477,Coriander,http://dbpedia.org/resource/Coriander,"[(182, 9)]"
241,0recipe1477,Thai cuisine,http://dbpedia.org/resource/Thai_cuisine,"[(185, 12)]"
242,0recipe1477,Thai basil,http://dbpedia.org/resource/Thai_basil,"[(185, 10)]"
243,0recipe1477,Basil,http://dbpedia.org/resource/Basil,"[(186, 5)]"
244,0recipe1477,Spring roll,http://dbpedia.org/resource/Spring_roll,"[(206, 11)]"
245,0recipe1488,Onion,http://dbpedia.org/resource/Onion,"[(18, 5), (27, 5), (53, 5)]"
246,0recipe1488,Cooking,http://dbpedia.org/resource/Cooking,"[(23, 7), (56, 7)]"
247,0recipe1488,Olive,http://dbpedia.org/resource/Olive,"[(37, 5), (38, 5)]"
248,0recipe1488,Lemon,http://dbpedia.org/resource/Lemon,"[(40, 5), (40, 5)]"
249,0recipe1488,Paprika,http://dbpedia.org/resource/Paprika,"[(45, 7)]"
250,0recipe1488,Black pepper,http://dbpedia.org/resource/Black_pepper,"[(47, 12), (48, 12)]"
251,0recipe1488,Chicken,http://dbpedia.org/resource/Chicken,"[(68, 7), (93, 7)]"
252,0recipe1488,Tortilla,http://dbpedia.org/resource/Tortilla,"[(91, 8), (97, 8), (109, 8), (128, 8)]"
253,0recipe1495,Cooking,http://dbpedia.org/resource/Cooking,"[(19, 7), (59, 7)]"
254,0recipe1495,Chorizo,http://dbpedia.org/resource/Chorizo,"[(35, 7), (52, 7), (108, 7)]"
255,0recipe1495,Potato,http://dbpedia.org/resource/Potato,"[(50, 6), (60, 6)]"
256,0recipe1495,Black pepper,http://dbpedia.org/resource/Black_pepper,"[(72, 12), (73, 12), (115, 12)]"
257,0recipe1495,Cheese,http://dbpedia.org/resource/Cheese,"[(93, 6), (158, 6)]"
258,0recipe1495,Muffin,http://dbpedia.org/resource/Muffin,"[(99, 6), (135, 6)]"
259,0recipe1495,Cayenne pepper,http://dbpedia.org/resource/Cayenne_pepper,"[(114, 14), (114, 14)]"
260,0recipe1521,Yogurt,http://dbpedia.org/resource/Yogurt,"[(13, 6), (18, 6)]"
261,0recipe1528,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(8, 12), (43, 12)]"
262,0recipe1528,Cheese,http://dbpedia.org/resource/Cheese,"[(9, 6), (44, 6)]"
263,0recipe1528,Onion,http://dbpedia.org/resource/Onion,"[(12, 5)]"
264,0recipe1528,Lemon,http://dbpedia.org/resource/Lemon,"[(14, 5), (14, 5)]"
265,0recipe1528,Horseradish,http://dbpedia.org/resource/Horseradish,"[(17, 11)]"
266,0recipe1528,Pecan,http://dbpedia.org/resource/Pecan,"[(60, 5)]"
267,0recipe1528,Parsley,http://dbpedia.org/resource/Parsley,"[(62, 7)]"
268,0recipe1552,Dough,http://dbpedia.org/resource/Dough,"[(53, 5), (62, 5), (87, 5), (103, 5), (112, 5), (120, 5)]"
269,0recipe1552,Thyme,http://dbpedia.org/resource/Thyme,"[(80, 5)]"
270,0recipe1552,Black pepper,http://dbpedia.org/resource/Black_pepper,"[(83, 12), (84, 12)]"
271,0recipe1552,Cheese,http://dbpedia.org/resource/Cheese,"[(110, 6), (130, 6)]"
272,0recipe1560,Vegetable oil,http://dbpedia.org/resource/Cooking_oil,"[(20, 13), (20, 13), (21, 13), (31, 13), (31, 13), (32, 13), (90, 13), (90, 13), (91, 13)]"
273,0recipe1560,Popcorn,http://dbpedia.org/resource/Popcorn,"[(39, 7), (57, 7), (80, 7), (150, 7), (157, 7)]"
274,0recipe1560,Cooking,http://dbpedia.org/resource/Cooking,"[(43, 7), (116, 7)]"
275,0recipe1560,Peanut,http://dbpedia.org/resource/Peanut,"[(78, 6)]"
276,0recipe1560,Corn syrup,http://dbpedia.org/resource/Corn_syrup,"[(94, 10), (94, 10)]"
277,0recipe1560,Syrup,http://dbpedia.org/resource/Syrup,"[(95, 5)]"
278,0recipe1560,Lime (fruit),http://dbpedia.org/resource/Lime_(fruit),"[(105, 12), (105, 12), (138, 12)]"
279,0recipe1560,Fish sauce,http://dbpedia.org/resource/Fish_sauce,"[(108, 10)]"
280,0recipe1560,Sauce,http://dbpedia.org/resource/Sauce,"[(109, 5)]"
